Arctos_guid,Sp,Fam,ID,Field_Number,Sex,Age,Year,Month,State,County,Locality,Latitude,Longitude,BIO1_Annual_Mean_Temperature_30s,BIO2_Mean_Diurnal_Range_30s,BIO3_Isothermality_30s,BIO4_Temperature_Seasonality_30s,BIO5_Max_Temperature_of_Warmest_Month_30s,BIO6_Min_Temperature_of_Coldest_Month_30s,BIO7_Temperature_Annual_Range_30s,BIO8_Mean_Temperature_of_Wettest_Quarter_30s,BIO9_Mean_Temperature_of_Driest_Quarter_30s,BIO10_Mean_Temperature_of_Warmest_Quarter_30s,BIO11_Mean_Temperature_of_Coldest_Quarter_30s,BIO12_Annual_Precipitation_30s,BIO13_Precipitation_of_Wettest_Month_30s,BIO14_Precipitation_of_Driest_Month_30s,BIO15_Precipitation_Seasonality_coefficient.of.variation_30s,BIO16_Precipitation_of_Wettest_Quarter_30s,BIO17_Precipitation_of_Driest_Quarter_30s,BIO18_Precipitation_of_Warmest_Quarter_30s,BIO19_Precipitation_of_Coldest_Quarter_30s,Elevation_30s,TPC1,TPC2,PPC1,PPC2,elev.z.1,TPC1.z.1,TPC2.z.1,PPC1.z.1,PPC2.z.1,lat.z.1,Tissue_Type_Tested_Bd,Tissue_Type_Tested_Pr,Tissue_Type_Tested_Rv,Status_Bd,Status_Pr,Status_Rv,Pathogens_Tested_For,Overall_Infection_Status,Confirmed_Average_Bd_SQ,Confirmed_Average_Pr_SQ,Confirmed_Average_Rv_SQ,Overall_Average_SQ,Confirmed_Log10_Average_Bd_SQ,Confirmed_Log10_Average_Pr_SQ,Confirmed_Log10_Average_Rv_SQ
https://arctos.database.museum/guid/MSB:Herp:104930,Rana clamitans,Ranidae,MSB:Herp:104930,LNB 2091,female,adult,2020,6,OH,Union,Alive on Northwest Parkway (133),40.26294,-83.46751,10.17083,11.275,30.30914,957.64258,28.9,-8.3,37.2,19.46667,-2.1,21.58333,-2.1,932,103,50,22.61876,301,171,286,171,328,-2.623507575,-0.840043586,-2.215187768,0.595805449,0.922121956,-0.914183227,-0.681971202,-0.940637715,0.409190115,0.829001941,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104628,Rana clamitans,Ranidae,MSB:Herp:104628,LNB 2318,unknown,unknown,2021,5,OK,Le Flore,Alive on E1200,35.2746,-94.56084,16.0375,13.35833,36.00629,868.052,34.2,-2.9,37.1,15.93333,4.98333,26.48333,4.98333,1181,145,61,24.26797,363,217,260,217,158,-0.043862363,1.627229098,-0.737709417,0.449423035,-0.006571377,-0.015284209,1.321030721,-0.313254393,0.308656901,-0.066545682,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:105905,Rana clamitans,Ranidae,MSB:Herp:105905,LNB 2587,unknown,adult,2022,5,KY,Ballard,Kelly Br Rd,37.200695,-88.992371,14.025,11.68333,32.09707,916.31305,32,-4.4,36.4,13.71667,20.58333,24.95,2.23333,1213,126,79,15.55872,366,260,289,281,100,-0.602946265,0.479648149,0.12242248,1.449948623,-0.323419691,-0.210101685,0.389391967,0.051984398,0.995802647,0.279242656,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:103915,Anaxyrus terrestris,Bufonidae,MSB:Herp:103915,MJM 475,unknown,unknown,2009,7,FL,Levy,on SR24,29.3449,-82.74346,20.6375,12.94167,48.65288,535.06635,33,6.4,26.6,26.78333,17.88333,26.78333,13.76667,1464,234,54,49.0887,625,202,625,286,8,3.461413808,0.371499191,2.240572827,-3.611471444,-0.826006672,1.206158684,0.301593577,0.951417002,-2.480303624,-1.131093956,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:103921,Hyla squirella,Hylidae,MSB:Herp:103921,MJM 480,unknown,unknown,2009,7,FL,Levy,on SR24,29.35271,-82.7363,20.62917,12.94167,48.47066,535.78088,33,6.3,26.7,26.78333,17.88333,26.78333,13.75,1463,233,54,48.91018,624,202,624,287,8,3.439693835,0.37109218,2.229581344,-3.585594859,-0.826006672,1.198590177,0.301263154,0.946749676,-2.462531979,-1.129691841,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:103936,Rana catesbeiana,Ranidae,MSB:Herp:103936,MJM 494 (9/24/2020),unknown,adult,2009,7,FL,Levy,on SR24,29.44025,-82.6499,20.59167,13.45,49.2674,542.07025,33.1,5.8,27.3,26.81667,17.75,26.81667,13.61667,1437,225,54,47.07883,607,201,607,288,21,3.405917004,0.73889072,2.029447129,-3.317777464,-0.754988946,1.186820357,0.599852438,0.861766455,-2.278599068,-1.113975944,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:103948,Anaxyrus terrestris,Bufonidae,MSB:Herp:103948,MJM 505,unknown,unknown,2009,7,FL,St. John's,8448 A1A S. Crescent Silver Sands,29.72324,-81.23555,20.92083,9.625,41.13248,509.4313,31.8,8.4,23.4,26.68333,15.65,26.7,14.33333,1256,165,60,38.06794,478,208,463,235,4,3.29607797,-2.158352073,0.403051902,-1.446453879,-0.847858279,1.148546024,-1.752211411,0.17114839,-0.99340251,-1.063171263,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104115,Anaxyrus terrestris,Bufonidae,MSB:Herp:104115,MJM 671,unknown,unknown,2009,12,FL,Highlands,on SR17,27.15409,-81.34542,22.5,13.63333,55.64626,418.35715,33.8,9.3,24.5,27.11666,18.31667,27.23333,17.08333,1242,210,42,61.005,583,143,533,157,47,4.687334527,0.926408379,0.139991371,-4.134998782,-0.612953495,1.633341044,0.752084589,0.059444696,-2.839854232,-1.524406098,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104116,Anaxyrus terrestris,Bufonidae,MSB:Herp:104116,MJM 672,unknown,unknown,2009,12,FL,Highlands,on SR17,27.15409,-81.34542,22.5,13.63333,55.64626,418.35715,33.8,9.3,24.5,27.11666,18.31667,27.23333,17.08333,1242,210,42,61.005,583,143,533,157,47,4.687334527,0.926408379,0.139991371,-4.134998782,-0.612953495,1.633341044,0.752084589,0.059444696,-2.839854232,-1.524406098,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104117,Anaxyrus terrestris,Bufonidae,MSB:Herp:104117,MJM 673,unknown,unknown,2009,12,FL,Highlands,on SR17,27.15409,-81.34542,22.5,13.63333,55.64626,418.35715,33.8,9.3,24.5,27.11666,18.31667,27.23333,17.08333,1242,210,42,61.005,583,143,533,157,47,4.687334527,0.926408379,0.139991371,-4.134998782,-0.612953495,1.633341044,0.752084589,0.059444696,-2.839854232,-1.524406098,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104123,Pseudacris crucifer,Hylidae,MSB:Herp:104123,MJM 68,female,adult,2009,3,IL,Johnson,"on Belknap Rd., 0.6mi W of RR Xing",37.33879,-88.92105,13.7375,11.74167,32.16895,916.42371,31.7,-4.8,36.5,13.66667,20.16667,24.66667,1.9,1205,125,78,15.90738,365,255,289,278,117,-0.735473475,0.473061734,0.038487621,1.40749051,-0.230550358,-0.256281903,0.384044929,0.016343042,0.966643062,0.304034601,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104175,Rana catesbeiana,Ranidae,MSB:Herp:104175,MJM 73,unknown,unknown,2009,3,IL,Marion,on SR161,38.52111,-88.71113,12.53333,11.81667,31.17854,962.02991,31.4,-6.5,37.9,12.43333,0.01667,23.96667,0.01667,1060,112,57,19.86648,322,209,276,209,144,-1.906696889,0.400160923,-1.399912777,0.923950889,-0.083052005,-0.664404529,0.324861983,-0.594446563,0.634555409,0.516294364,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104127,Hyla cinerea,Hylidae,MSB:Herp:104127,MJM 683,unknown,unknown,2010,1,FL,Gulf,Forest Hill Cemetery,29.78485,-85.27594,20.25,9.88333,39.21958,593.74774,31.8,6.6,25.2,27.03333,17.16667,27.15,12.7,1567,216,81,35.38794,600,298,565,330,12,2.846363893,-1.917161651,3.279783957,-1.709045823,-0.804155064,0.991839381,-1.556406188,1.392698412,-1.173746661,-1.052110532,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104139,Anaxyrus terrestris,Bufonidae,MSB:Herp:104139,MJM 695,unknown,unknown,2010,1,FL,Gulf,on CR 361,29.97025,-85.08444,19.97083,11.225,42.19925,601.51495,32.3,5.7,26.6,26.85,16.7,27,12.35,1597,213,85,33.57622,594,302,571,355,11,2.82528619,-0.896655559,3.501534841,-1.479307453,-0.809617966,0.984494678,-0.727930406,1.486860743,-1.015965845,-1.018826006,Liver_included_no_skin,Liver_included_no_skin,Liver_included_no_skin,0,0,0,"Bd, Pr, Rv",0,NA,NA,NA,NA,NA,NA,NA
